ID,TRULY Esports,SCUM Esports,Quiznos Esports,Has Had A Trials Named After Them
3020646,,,,Y
3212135,,,,Y
1482400,,,,Y
2871035,,,,Y
1064170,Y,,,
1182287,,,,Y
3245614,,Y,,Y
643689,,,,Y
2406995,,,,Y
3702121,,,,Y
129059,,,,Y
1055239,,,,Y
64645,,,,Y
1741428,,,,Y
3686205,,,,Y
1414605,,,,Y
3149202,,Y,,
2457774,,,,Y
68193,,,,Y
1597094,,,,Y
1719868,,,,Y
735124,,,,Y
899303,,,,Y
3640471,Y,,,
250461,,,,Y
543736,,,,Y
1570693,,,,Y
1018646,,,,Y
380718,,,Y,Y
2781174,,,,Y
570158,Y,,,Y
1753438,,,,Y
655410,,,,Y
532215,,,,Y
712604,,,,Y
36327,,,,Y
2421325,,,,Y
3284395,,,,Y
2143131,,,,Y
721138,Y,,,Y
2359223,Y,,,Y
666787,Y,,,
275782,,Y,,
340667,,,,Y
3064811,,,Y,Y
2236169,,,,Y
3671117,,,,Y
2517176,,Y,,
3117277,,Y,,
956514,,,,Y
3021789,,,,Y
1053797,,,,Y
2859335,,,Y,Y
915443,,,,Y
1402350,,,,Y
2203889,,,,Y
616544,,,,Y
611102,,,,Y
4400698,,,,Y
1081392,,,,Y
4157195,,,,Y
1259807,,,,Y
314211,,,,Y
657160,,,,Y
1659953,,,,Y
777742,,,,Y
409161,,,,Y
2855897,,,,Y
3915659,,,,Y
2161358,,,,Y
38354,,,,Y
1393038,,,,Y
943052,,,,Y
1300990,,,Y,
317748,,,,Y
2517598,,,,Y
527773,,,,Y
2395978,,,,Y
160474,,,,Y
312100,,,,Y
4421148,,,,Y
596671,Y,,,
46177,,,,Y
