Title,Game,player1,player2
CFG Tuesday Trials 36 +AC0- Bebeo Amibo (Giovanna) vs. Mag3r (Potemkin) +AC0- Winners Quarterfinal,Guilty Gear: Strive,Bebeo Amibo,Mag3r
CFG Tuesday Trials 36 +AC0- Bebeo Amibo (Leo Whitefang) vs. Mangocopter (Potemkin) +AC0- Grand Final,Guilty Gear: Strive,Bebeo Amibo,Mangocopter
CFG Tuesday Trials 36 +AC0- Bebeo Amibo (Leo Whitefang) vs. Mangocopter (Potemkin) +AC0- Winners Final,Guilty Gear: Strive,Bebeo Amibo,Mangocopter
CFG Tuesday Trials 36 +AC0- Bebeo Amibo (Leo Whitefang) vs. Plowdis (Giovanna) +AC0- Winners Semifinal,Guilty Gear: Strive,Bebeo Amibo,Plowdis
CFG Tuesday Trials 36 +AC0- Kibotsu (Axl Low) vs. Mangocopter (Potemkin) +AC0- Winners Semifinal,Guilty Gear: Strive,Kibotsu,Mangocopter
CFG Tuesday Trials 36 +AC0- Plowdis (Giovanna) vs. Mangocopter (Potemkin) +AC0- Losers Final,Guilty Gear: Strive,Plowdis,Mangocopter
CFG Tuesday Trials 36 +AC0- Sente (Nagoriyuki) vs. Kibotsu (Axl Low) +AC0- Winners Quarterfinal,Guilty Gear: Strive,Sente,Kibotsu
CFG Tuesday Trials 36 +AC0- TaishouNara (Anji Mito) vs. Mag3r (Potemkin) +AC0- Winners Round 1,Guilty Gear: Strive,TaishouNara,Mag3r
CFG Tuesday Trials 36 +AC0- ThereGoesMySanity (Ramlethal) vs. Plowdis (Giovanna) +AC0- Losers Semifinal,Guilty Gear: Strive,ThereGoesMySanity,Plowdis
CFG Tuesday Trials 36 +AC0- Yemma (Testament) vs. BoatCamel (Jack+AC0-O) +AC0- Winners Round 1,Guilty Gear: Strive,Yemma,BoatCamel
Saturday Trials 2 GGST Grand Final - Bebeo Amibo (Leo) vs NOELL (Sol),Guilty Gear: Strive,Bebeo Amibo,Noel
Saturday Trials 2 GGST Losers Final - Fat (Bridget) vs NOELL (Sol),Guilty Gear: Strive,Fat,Noel
Saturday Trials 2 GGST Losers Quarters - Fat (Bridget) vs Kibotsu (Axl),Guilty Gear: Strive,Fat,Kibotsu
Saturday Trials 2 GGST Losers Quarters - Gold_Phantom__ (Goldlewis) vs Mangocopter (Potemkin),Guilty Gear: Strive,Gold_Phantom__,Mangocopter
Saturday Trials 2 GGST Losers R2 - Bleather (Giovanna) vs Lohgic (Giovanna),Guilty Gear: Strive,Heather,Lohgic
Saturday Trials 2 GGST Losers R5 - Naiya55 (Potemkin) vs Fat (Bridget),Guilty Gear: Strive,Naiya55,Fat
Saturday Trials 2 GGST Losers Semis - Fat (Bridget) vs Gold_Phantom__ (Goldlewis),Guilty Gear: Strive,Fat,Gold_Phantom__
Saturday Trials 2 GGST Winners Final - Bebeo Amibo (Leo) vs NOELL (Sol),Guilty Gear: Strive,Bebeo Amibo,Noel
Saturday Trials 2 GGST Winners Quarters - 3k (Ky) vs NOELL (Sol),Guilty Gear: Strive,3k,Noel
Saturday Trials 2 GGST Winners Quarters - Kibotsu (Axl) vs Gold_Phantom__ (Goldlewis),Guilty Gear: Strive,Kibotsu,Gold_Phantom__
Saturday Trials 2 GGST Winners Quarters - Mangocopter (Potemkin) vs Fat (Bridget),Guilty Gear: Strive,Mangocopter,Fat
"Saturday Trials 2 GGST Winners Quarters - Meaty Behemy (Millia, Goldlewis) vs Bebeo Amibo (Leo)",Guilty Gear: Strive,Meaty Behemy,Bebeo Amibo
Saturday Trials 2 GGST Winners R3 - Fat (Bridget) vs SlabOfBeef (Nagoriyuki),Guilty Gear: Strive,Fat,SlabofBeef
Saturday Trials 2 GGST Winners R3 - Naiya55 (Potemkin) vs 3k (Ky),Guilty Gear: Strive,Naiya55,3k
Saturday Trials 2 GGST Winners Semis - Mangocopter (Potemkin) vs Bebeo Amibo (Leo),Guilty Gear: Strive,Mangocopter,Bebeo Amibo
Saturday Trials 2 GGST Winners Semis - NOELL (Millia) vs Kibotsu (Axl),Guilty Gear: Strive,Noel,Kibotsu
Saturday Trials 2 MK1 Grand Final - Burrito Voorhees (Geras) vs Fragmentedmind_ (Ashrah),Mortal Kombat 1,Burrito Voorhees,Fragmentedmind_
Saturday Trials 2 MK1 Losers Final - Kompetitor (Johnny Cage) vs Fragmentedmind_ (Ashrah),Mortal Kombat 1,Kompetitor,Fragmentedmind_
Saturday Trials 2 MK1 Losers Quarters - Bebeo Amibo (Sindel) vs million-floe (Johnny Cage),Mortal Kombat 1,Bebeo Amibo,million-floe
Saturday Trials 2 MK1 Losers Quarters - LongJohnCena (Reiko) vs Fragmentedmind_ (Ashrah),Mortal Kombat 1,LongJohnCena,Fragmentedmind_
Saturday Trials 2 MK1 Losers Semis - Fragmentedmind_ (Ashrah) vs million-floe (Johnny Cage),Mortal Kombat 1,Fragmentedmind_,million-floe
